"","id","X","region","takeup_survey","age","agpop","educ","rice_inc","ricearea_2010","disaster_loss","insurance_repay","insurance_buy","disaster_prob","general_trust","male","default","delay","intensive","info_takeup_rate","info_takeup_list","info_none","understanding","day","risk_averse","literacy","educ_good","reveal","disaster_yes","address","village","group","ricearea_2010_per_capita","membership","assignment"
"143",1111384,143,1,1,59,4,1,95,3.5,NA,0,1,10,1,1,1,1,1,1,0,0,0.60000002,4,0.39999998,1,0,NA,0,59,12,22,0.875,7,2
"144",1111385,144,1,1,37,4,1,30,2,75,0,1,50,1,1,1,0,1,0,0,1,0.60000002,2,0,1,0,0,1,59,12,22,0.5,7,1
"145",1111386,145,1,1,43,6,2,15,5.6,50,1,0,20,1,1,1,0,1,0,0,1,0.2,2,0,1,1,0,1,59,12,22,0.933333333333333,7,4
"146",1111390,146,1,0,45,4,1,90,13.2,10,0,0,30,0,1,1,1,0,0,0,1,1,4,0,1,0,NA,1,59,12,24,3.3,7,3
"147",1111393,147,1,1,44,5,1,35,5,NA,0,1,20,0,1,1,1,1,1,0,0,0.60000002,4,0,1,0,NA,0,59,12,24,1,7,2
"148",1111394,148,1,1,36,4,1,40,1,NA,0,1,0,1,0,1,0,0,0,0,1,0.2,2,0,1,0,0,0,59,12,22,0.25,7,3
"149",1111395,149,1,1,70,6,1,60,6,NA,1,0,40,0,1,1,1,1,0,0,1,0.40000001,4,0,1,0,NA,0,59,12,24,1,7,1
"150",1111396,150,1,1,57,3,1,40,12,30,0,0,50,1,NA,1,1,0,0,0,1,0.2,4,0,1,0,NA,1,59,12,3,4,7,2
"151",1111397,151,1,1,64,11,1,40,6.2,NA,0,1,20,1,1,1,0,0,0,0,1,0.40000001,2,0,1,0,0,0,59,12,22,0.563636363636364,7,2
"152",1111398,152,1,1,43,5,2,30,3,NA,0,1,30,0,1,1,1,0,1,0,0,1,4,0,1,1,NA,0,59,12,22,0.6,7,1
"153",1111399,153,1,1,41,5,1,20,3,20,0,1,20,1,1,1,1,0,1,0,0,0.2,4,0,1,0,NA,1,59,12,22,0.6,7,4
"154",1111400,154,1,1,30,4,0,100,30,NA,0,0,50,1,1,1,1,0,0,0,1,1,4,0.2,0,0,NA,NA,59,12,24,7.5,7,4
"155",1111401,155,1,1,48,4,2,40,10,NA,1,1,0,1,1,1,0,0,0,0,1,0.40000001,2,0,1,1,NA,0,59,12,24,2.5,7,3
"156",1111403,156,1,0,37,4,2,70,15,NA,0,0,50,1,1,1,0,1,0,0,1,NA,2,0.40000001,1,1,NA,NA,59,12,24,3.75,7,2
"157",1111404,157,1,1,36,4,1,100,2.5,5,1,0,20,1,1,1,1,1,0,1,0,0.2,4,0,1,0,NA,1,59,12,22,0.625,7,3
"158",1111405,158,1,1,36,4,2,30,3,NA,0,0,30,0,1,1,1,1,0,0,1,0.60000002,4,0.39999998,1,1,NA,0,59,12,22,0.75,7,2
"159",1111406,159,1,1,51,8,0,20,5,NA,0,1,20,1,1,1,1,0,0,0,1,0.2,4,0,0,0,NA,0,59,12,22,0.625,7,1
"160",1111407,160,1,1,58,5,0,100,3.7,NA,1,0,50,1,1,1,1,1,0,0,1,0.40000001,4,0,0,0,NA,0,59,12,22,0.74,7,4
"161",1111408,161,1,1,NA,4,2,35,6,NA,1,0,40,0,1,1,0,1,0,0,1,0.60000002,2,0,1,1,NA,0,59,12,24,1.5,7,1
"162",1111410,162,1,0,61,5,1,95,5,NA,0,1,30,0,1,1,1,0,0,1,0,1,4,0,1,0,NA,0,59,12,24,1,7,4
"163",1111411,163,1,1,57,7,1,30,6,60,1,1,20,1,1,1,1,0,1,0,0,0.80000001,4,1,1,0,NA,1,59,12,22,0.857142857142857,7,3
"164",1111415,164,1,0,35,4,2,80,10,NA,0,0,15,1,1,1,1,0,0,1,0,1,4,0,1,1,NA,0,59,12,24,2.5,7,3
"165",1111416,165,1,0,60,1,1,60,3,NA,1,0,20,0,1,1,0,0,0,0,1,0.80000001,2,0,1,0,0,0,59,12,3,3,7,1
"166",1111417,166,1,0,48,6,2,60,15,NA,1,0,50,0,1,1,0,1,0,0,1,0.80000001,2,1,1,1,1,0,59,12,24,2.5,7,2
