"","V1","V2","V3","V4","V5","V6","V7","V8"
"258",1112394,0,1,0,0,0,0,0
"259",1112395,0,0,0,0,0,0,0
"260",1112399,0,0,0,0,0,0,1
"261",1112402,0,0,0,0,0,0,0
"262",1112403,0,0,0,0,0,0,0
"263",1112405,0,1,0,0,0,1,1
"264",1112407,0,0,0,0,0,0,1
"265",1112410,0,0,0,0,0,1,1
"266",1112411,0,0,0,0,0,0,0
"267",1112412,1,1,1,1,1,1,1
"268",1112418,1,1,1,1,1,1,1
"269",1112423,0,0,0,0,0,0,0
"270",1112424,0,0,0,0,0,0,0
"271",1112425,1,1,1,1,1,1,1
"272",1112427,1,1,1,1,1,1,1
"273",1112431,0,0,0,0,0,0,1
"274",1112432,0,1,0,0,0,1,1
"275",1112433,0,1,1,0,0,1,1
"276",1112435,0,0,0,0,0,1,0
"277",1112436,1,1,1,1,1,1,1
"278",1112438,0,1,0,0,1,1,1
"279",1112439,0,1,0,0,1,1,1
"280",1112442,0,0,0,0,0,0,0
"281",1112443,0,0,0,0,0,0,0
"282",1112444,0,1,1,0,0,1,1
"283",1112445,0,0,0,0,0,0,0
"284",1112446,0,0,0,0,0,0,0
"285",1112449,0,1,0,0,0,1,1
"286",1112450,0,1,0,0,1,1,1
"287",1112452,0,1,0,0,0,1,0
"288",1112456,0,0,0,0,0,0,0
"289",1112458,1,1,1,1,1,1,0
"290",1112459,0,0,0,0,0,0,1
"291",1112460,0,0,0,0,0,0,0
"292",1112462,0,1,1,1,0,1,0
"293",1112463,0,0,0,0,0,0,0
"294",1112468,1,1,1,1,1,1,1
"295",1112469,1,1,1,1,1,1,1
"296",1112474,0,0,0,0,0,0,0
"297",1112475,0,0,0,0,0,0,0
"298",1112477,1,1,1,1,1,1,0
"299",1112478,0,1,0,0,0,1,0
"300",1112479,0,0,0,0,0,0,1
"301",1112482,0,0,0,0,0,0,1
"302",1112483,1,1,1,1,1,1,1
"303",1112486,0,0,0,0,0,0,0
"304",1112491,0,0,0,0,0,0,0
"305",1112492,0,0,0,0,0,0,0
"306",1112497,1,1,1,0,1,1,1
"307",1112498,0,1,0,0,0,1,0
"308",1113069,0,0,0,0,0,0,1
"309",1113070,0,1,0,0,0,0,1
"310",1113072,1,1,1,1,1,1,1
"311",1113077,0,1,0,0,0,1,0
"312",1113079,0,0,0,0,0,1,0
"313",1113080,1,1,1,1,1,1,1
"314",1113081,0,1,0,0,0,1,1
"315",1113084,1,1,1,0,1,1,1
"316",1113089,0,0,0,0,0,0,0
"317",1113090,0,1,0,1,1,1,0
"318",1113093,1,1,1,1,1,1,1
"319",1113094,0,0,0,0,0,0,0
"320",1113095,0,0,0,0,0,0,0
"321",1113098,0,0,0,0,0,0,0
"322",1113100,1,1,1,1,1,1,1
"323",1113101,1,1,1,1,1,1,1
"324",1113102,1,1,1,1,1,1,1
"325",1113105,0,0,0,0,0,0,0
"326",1113106,0,0,0,0,0,1,1
"327",1113108,0,0,0,0,0,0,0
"328",1113109,0,0,0,0,0,0,0
"329",1113117,0,0,0,0,0,0,0
"330",1113118,0,1,0,1,0,0,1
"331",1113119,1,1,1,0,1,1,1
"332",1113121,0,0,0,0,0,0,0
"333",1113124,1,1,1,1,1,1,1
"334",1113127,0,0,0,0,0,0,0
"335",1113130,0,1,0,0,1,1,1
"336",1113132,1,1,1,1,1,1,1
"337",1113135,1,1,1,1,1,1,1
"338",1113137,0,0,0,0,0,0,0
"339",1113139,0,1,0,0,0,1,1
"340",1113140,1,1,0,1,1,1,0
"341",1113142,1,1,1,1,1,1,1
"342",1113143,1,1,0,1,1,1,1
"343",1113147,0,0,0,0,0,0,0
"344",1113148,0,0,0,0,0,0,0
"345",1113149,1,1,1,1,1,1,0
"346",1113150,0,0,0,0,0,0,0
"347",1113151,0,1,0,0,0,1,0
"348",1113152,0,0,0,0,0,0,1
"349",1113331,0,0,0,0,0,0,0
"350",1113337,0,1,0,0,1,0,1
"351",1113338,0,0,0,0,0,0,0
"352",1113339,1,1,1,1,1,1,1
"353",1113345,1,1,1,1,1,1,1
"354",1113347,0,0,0,0,0,0,0
"355",1113349,0,0,0,0,0,0,0
"356",1113354,0,0,0,0,0,0,1
"357",1113356,0,1,0,0,0,1,1
"358",1113358,1,1,1,1,1,1,1
"359",1113360,0,0,0,0,0,0,0
"360",1113367,0,0,0,0,0,0,1
"361",1113370,0,0,0,0,0,0,0
"362",1113371,0,0,0,0,0,0,0
"363",1113373,0,1,0,0,0,1,0
"364",1113376,0,0,0,0,0,0,1
"365",1113377,0,0,0,0,0,0,0
"366",1113419,1,1,1,0,1,1,1
"367",1113421,0,0,0,0,0,0,0
"368",1113422,0,0,0,0,0,0,0
"369",1113424,0,0,0,0,0,0,0
"370",1113425,1,1,1,1,1,1,1
"371",1113426,1,1,1,1,1,1,1
"372",1113428,0,0,0,0,0,0,1
"373",1113430,0,0,0,0,0,0,0
"374",1113431,1,1,1,1,1,1,1
"375",1113432,0,0,0,0,0,0,0
"376",1113434,1,1,1,1,1,1,1
"377",1113435,1,1,1,1,1,1,1
"378",1113437,0,0,0,0,0,0,0
"379",1113439,0,1,0,0,1,1,1
"380",1113440,0,1,0,0,0,1,1
"381",1113441,0,0,0,0,0,1,1
"382",1113445,0,1,0,0,1,1,1
"383",1113447,0,1,0,0,0,1,1
"384",1113450,0,0,0,0,0,0,0
"385",1113451,0,0,0,0,0,0,0
"386",1113453,0,0,0,0,0,0,1
"387",1113454,1,1,1,0,1,1,1
"388",1113455,0,0,0,0,0,0,0
"389",1113457,0,0,0,0,0,1,0
"390",1113461,0,1,0,0,0,1,0
"391",1113540,0,0,0,0,0,0,0
"392",1113542,0,0,0,0,0,0,1
"393",1113552,0,1,0,0,0,1,1
"394",1113556,0,1,0,0,0,1,0
"395",1113557,0,0,0,0,0,0,0
"396",1113559,0,0,0,0,0,1,1
"397",1113562,0,1,1,0,0,1,1
"398",1113571,0,1,0,0,0,1,1
"399",1113572,0,0,0,0,0,0,0
"400",1113576,0,1,1,0,0,1,1
"401",1113578,1,1,1,1,1,1,1
"402",1113584,0,0,0,0,0,0,0
"403",1113592,0,0,0,0,0,0,0
"404",1113593,1,1,1,0,0,1,0
"405",1114036,0,0,0,0,0,0,0
"406",1114038,0,0,0,0,0,0,0
"407",1114043,1,1,1,0,1,1,1
"408",1114045,0,1,0,0,0,1,1
"409",1114046,1,1,1,1,1,1,1
"410",1114048,0,0,0,0,0,0,0
"411",1114051,0,0,0,0,0,0,0
"412",1114052,0,0,0,0,0,0,0
"413",1114056,0,0,0,0,0,1,1
"414",1114058,1,1,1,1,1,1,1
"415",1114059,0,0,0,0,0,0,1
"416",1114060,0,0,0,0,0,0,0
"417",1114061,0,1,0,0,0,1,0
"418",1114063,0,1,0,0,0,0,0
"419",1114064,0,0,0,0,0,0,0
"420",1114065,0,0,0,0,0,0,0
"421",1114067,0,1,0,0,0,1,1
"422",1114068,0,0,0,0,0,0,0
"423",1114071,0,0,0,0,0,0,1
"424",1114072,1,1,1,1,1,1,1
"425",1114073,0,0,0,0,0,0,0
"426",1114076,0,0,0,0,0,0,0
"427",1114077,0,1,0,1,1,1,0
"428",1114080,1,1,1,1,1,1,1
"429",1114082,1,1,1,1,1,1,1
"430",1114083,0,0,0,0,0,0,0
"431",1114085,1,1,1,1,1,1,1
"432",1114086,1,1,1,1,1,1,1
"433",1114092,0,0,0,0,0,0,0
"434",1114093,0,0,0,0,0,0,0
"435",1114099,0,0,0,0,0,0,0
"436",1114106,0,0,0,0,0,0,1
"437",1114110,1,1,1,1,1,1,1
"438",1114111,0,1,0,0,0,1,0
"439",1114112,0,1,0,0,1,1,1
"440",1114113,0,1,0,0,0,1,1
"441",1114114,0,0,0,0,0,0,0
"442",1114115,0,0,0,0,0,0,0
"443",1114116,0,0,0,0,0,0,0
"444",1114117,0,0,0,0,0,0,0
"445",1114119,0,0,0,0,0,0,0
"446",1114120,1,1,1,1,1,1,1
"447",1114123,0,0,0,0,0,0,1
"448",1114125,1,1,1,1,1,1,1
"449",1114126,1,1,1,1,1,1,0
"450",1114130,0,0,0,0,0,0,0
"451",1114131,0,0,0,0,0,1,0
"452",1114132,0,1,0,0,0,1,0
"453",1114133,1,1,1,1,1,1,0
"454",1114139,0,0,0,0,0,0,0
"455",1114140,1,1,1,1,1,1,1
"456",1114141,1,1,1,1,1,1,1
"457",1114142,0,0,0,0,0,0,0
"458",1114144,0,0,0,0,0,0,0
"459",1114145,0,0,0,0,0,0,1
"460",1114147,1,1,1,1,1,1,1
"461",1114148,0,1,0,0,1,0,1
"462",1114150,1,1,1,1,1,1,1
"463",1114153,0,1,0,0,0,1,1
"464",1114156,1,1,1,0,1,1,1
"465",1114160,0,1,1,0,1,1,1
"466",1114161,0,0,0,0,1,1,1
"467",1114163,1,1,0,1,1,0,1
"468",1114165,0,0,0,0,0,0,0
"469",1114169,0,1,0,0,1,1,1
"470",1114171,0,0,1,1,1,0,0
"471",1114172,0,1,0,0,0,1,1
"472",1114173,1,1,1,1,1,1,1
"473",1114174,0,0,0,0,0,0,1
"474",1114175,1,1,1,1,1,1,1
"475",1114177,1,1,1,1,1,1,1
"476",1114179,1,1,1,1,1,1,1
"477",1114181,1,1,1,1,1,1,1
"478",1114182,0,1,0,0,0,0,0
"479",1114184,0,0,0,0,0,0,1
"480",1114185,0,1,0,0,0,1,0
"481",1114187,1,1,1,1,1,1,1
"482",1114191,1,1,0,1,1,1,1
"483",1114194,1,1,1,1,1,1,1
"484",1114197,1,1,1,1,1,1,1
"485",1114199,0,0,1,1,1,0,0
"486",1114201,1,1,1,1,1,1,1
"487",1114202,1,1,1,1,1,1,1
"488",1114203,0,0,0,0,0,0,1
"489",1114204,0,1,0,0,0,1,1
"490",1114205,1,1,1,1,1,1,1
"491",1114206,1,1,1,1,1,1,1
"492",1114211,1,1,1,1,1,1,1
"493",1114215,0,0,0,0,0,0,0
"494",1114216,0,1,0,0,1,1,1
"495",1114217,0,1,0,0,0,1,1
"496",1114218,0,0,0,0,0,0,1
"497",1114220,0,0,0,0,0,0,1
"498",1114225,1,1,1,1,1,1,1
"499",1114228,0,1,1,0,0,1,1
"500",1114231,0,0,0,0,0,0,0
"501",1114232,1,1,0,0,0,1,1
"502",1114234,0,0,0,0,0,0,1
"503",1114235,1,1,1,1,1,1,1
"504",1114236,0,1,0,0,0,1,1
"505",1114239,0,0,0,0,0,0,1
"506",1114240,0,1,0,0,0,1,0
"507",1114242,0,1,0,0,0,1,0
"508",1114247,0,1,0,0,1,1,1
"509",1114249,0,0,0,0,0,0,1
"510",1114251,0,0,0,0,0,0,0
"511",1114255,0,1,0,0,0,1,1
"512",1114256,0,0,0,0,0,0,0
"513",1114257,0,0,0,0,0,0,0
"514",1114258,1,1,1,1,1,1,1
"515",1114260,1,1,1,1,1,1,1
"516",1114264,0,0,0,0,0,0,0
"517",1114269,0,0,0,0,0,0,1
"518",1114273,1,1,1,1,1,1,1
"519",1114277,0,0,0,0,0,0,0
"520",1114285,1,1,1,1,1,1,1
"521",1114287,1,1,1,1,1,1,1
"522",1114288,0,1,0,0,0,1,1
"523",1114289,1,1,1,1,1,1,1
"524",1114291,1,1,1,1,1,1,1
"525",1114293,1,1,1,1,1,1,1
"526",1114294,0,0,0,0,0,0,0
"527",1114295,0,0,0,0,0,1,1
"528",1114296,1,1,1,1,1,1,1
"529",1114298,1,1,1,1,1,1,1
"530",1114299,1,1,0,1,1,1,1
"531",1114301,0,0,0,0,0,0,0
"532",1114303,0,1,0,0,0,1,1
"533",1114306,0,1,0,0,1,1,1
"534",1114307,0,0,0,0,0,0,0
"535",1114314,1,1,1,1,1,1,1
"536",1114316,0,0,0,0,0,0,0
"537",1114317,1,1,1,1,1,1,1
"538",1114318,0,1,1,0,0,1,0
"539",1114319,0,0,0,0,0,0,0
"540",1114320,1,1,1,1,1,1,1
"541",1114322,1,1,1,1,1,1,1
"542",1114326,1,1,1,1,1,1,1
"543",1114329,0,1,0,0,0,1,1
"544",1114330,1,1,1,1,1,1,1
"545",1114331,1,1,1,1,1,1,1
"546",1114337,0,0,0,0,0,0,1
"547",1114338,1,1,1,1,1,1,1
"548",1114339,1,1,0,1,1,1,1
"549",1114340,0,1,0,0,0,1,0
"550",1114341,1,1,1,1,1,1,0
"551",1114342,1,1,1,1,1,1,1
"552",1114346,1,1,1,1,1,1,1
"553",1114348,0,0,0,0,0,0,0
"554",1114351,1,1,1,1,1,1,1
"555",1114358,0,0,0,0,0,0,1
"556",1114362,0,1,0,0,1,1,1
"557",1114370,0,0,0,0,0,0,0
"558",1114372,0,0,0,0,0,0,0
"559",1114377,0,0,0,0,0,0,1
"560",1114378,0,0,0,0,0,0,1
"561",1114380,1,1,1,1,1,1,1
"562",1114382,1,1,1,1,1,1,1
"563",1114385,0,0,0,0,0,0,1
"564",1114387,1,1,1,1,1,1,1
"565",1114388,1,1,1,1,1,1,1
"566",1114389,0,1,0,1,1,1,0
"567",1114391,0,0,0,0,0,0,1
"568",1114393,1,1,1,1,1,1,1
"569",1114396,0,0,0,0,0,0,0
"570",1114399,0,0,0,0,0,0,1
"571",1114401,0,0,0,0,0,0,0
"572",1114403,0,0,0,0,0,0,0
"573",1114404,1,1,1,1,1,1,1
"574",1114407,0,0,0,0,0,0,0
"575",1114408,1,1,1,1,1,1,1
"576",1114409,0,0,0,0,1,1,1
"577",1114410,0,1,0,1,1,1,1
"578",1114411,0,0,0,0,0,0,0
"579",1114414,0,0,0,0,0,0,0
"580",1114416,1,1,1,1,1,1,1
"581",1114417,1,1,1,1,1,1,1
"582",1114419,0,0,0,0,0,0,1
"583",1114420,0,1,0,0,1,1,1
"584",1114422,1,1,1,1,1,1,1
"585",1114423,0,0,0,0,0,0,1
"586",1114427,0,0,0,0,0,1,1
"587",1114431,0,0,0,0,0,0,0
"588",1114432,0,0,0,0,0,0,0
"589",1114434,0,0,0,0,0,0,1
"590",1114441,0,0,0,0,0,0,0
"591",1114444,1,1,1,1,1,1,1
"592",1114455,0,0,0,0,0,0,1
"593",1114476,1,1,1,1,1,1,1
"594",1114477,0,0,0,0,0,0,1
"595",1114481,1,1,1,1,1,1,1
"596",1114482,0,0,0,0,0,0,0
"597",1114490,0,1,1,1,1,1,1
"598",1114491,1,1,1,0,0,1,1
"599",1114492,0,1,0,0,0,1,0
"600",1114498,0,0,0,0,0,0,0
"601",1114499,0,0,0,0,0,0,0
"602",1114547,1,1,1,1,1,1,1
"603",1114548,1,1,1,1,1,1,1
"604",1114549,1,1,1,0,0,1,1
"605",1114551,0,0,0,0,0,1,0
"606",1114559,0,0,0,0,0,0,0
"607",1114567,0,0,0,0,0,0,1
"608",1114569,0,0,0,0,0,0,0
"609",1114571,0,0,0,0,0,0,1
"610",1114573,0,0,0,0,0,1,1
"611",1114575,1,1,1,1,1,1,1
"612",1114576,1,1,1,1,1,1,1
"613",1114577,1,1,1,1,1,1,0
"614",1114579,1,1,1,1,1,1,1
"615",1114580,0,0,0,0,0,0,1
"616",1114583,0,0,0,0,0,1,0
"617",1114584,0,0,0,0,0,0,1
"618",1114586,1,1,1,1,1,1,1
"619",1114587,0,0,0,0,0,0,0
"620",1114588,0,0,0,0,0,1,0
"621",1114590,1,1,1,1,1,1,1
"622",1114591,1,1,1,1,1,1,1
"623",1114594,0,1,1,0,0,1,1
"624",1114595,0,1,0,0,0,0,1
"625",1114597,0,0,0,0,0,1,1
"626",1114599,1,1,1,1,1,1,1
"627",1114600,0,1,0,1,0,1,0
"628",1114602,0,1,0,0,0,1,0
"629",1114603,0,0,0,0,0,0,0
"630",1114607,1,1,1,1,1,1,1
"631",1114608,1,1,1,1,1,1,0
"632",1114614,0,0,0,0,0,0,0
"633",1114615,0,0,0,0,0,0,0
"634",1114616,0,0,0,0,0,0,0
"635",1114619,1,1,1,1,1,1,1
"636",1114623,0,0,0,0,0,1,1
"637",1114624,0,0,0,0,0,0,1
"638",1114626,1,1,1,1,1,1,1
"639",1114628,0,0,0,0,0,0,0
"640",1114629,1,1,1,1,1,1,1
"641",1114634,1,1,0,1,1,1,0
"642",1114636,0,0,0,0,0,0,0
"643",1114640,1,1,0,1,1,1,1
"644",1115003,0,0,0,0,0,0,0
"645",1115007,1,1,1,1,1,1,1
"646",1115008,1,1,1,0,1,1,1
"647",1115010,0,0,0,0,0,0,0
"648",1115012,0,0,0,0,0,0,0
"649",1115017,1,1,0,1,1,1,0
"650",1115018,0,1,0,0,0,1,0
"651",1115019,1,1,1,1,1,1,1
"652",1115022,1,1,1,1,1,1,1
"653",1115023,1,1,1,1,1,1,1
"654",1115024,0,0,0,0,0,0,1
"655",1115026,1,1,1,1,1,1,1
"656",1115028,0,1,0,0,0,1,0
"657",1115029,0,1,0,1,1,1,1
"658",1115033,0,1,0,0,1,1,1
"659",1115036,0,1,0,0,0,1,0
"660",1115038,0,0,0,0,0,0,0
"661",1115040,0,0,0,0,0,0,0
"662",1115041,1,1,1,1,1,1,1
