"","id","region","takeup_survey","age","agpop","educ","rice_inc","ricearea_2010","disaster_loss","insurance_repay","insurance_buy","disaster_prob","general_trust","male","default","delay","intensive","info_takeup_rate","info_takeup_list","info_none","understanding","day","risk_averse","literacy","educ_good","reveal","disaster_yes","address","village"
"1234",1118395,1,0,34,4,1,100,24,NA,0,0,30,1,1,1,1,0,1,0,0,0.40000001,13,0.80000001,1,0,NA,1,108,20
"1235",1118397,1,0,54,3,1,90,14,20,0,1,20,1,1,1,1,0,0,0,1,0.60000002,13,0,1,0,NA,1,108,20
"1236",1118398,1,1,41,1,0,50,2.8,NA,1,1,50,1,1,1,1,1,0,0,1,1,13,0,0,0,NA,0,108,20
"1237",1118399,1,1,39,5,1,80,18,NA,0,1,20,1,1,1,0,0,0,0,1,0.2,9,0,1,0,0,0,108,20
"1238",1118400,1,0,45,4,1,90,23,NA,0,0,50,1,1,1,0,1,0,0,1,0.80000001,9,0.39999998,1,0,0,0,108,20
"1239",1118403,1,0,70,2,2,70,12,NA,1,1,20,1,1,1,0,0,0,0,1,NA,9,0.80000001,1,1,NA,NA,108,20
"1240",1118407,1,0,67,17,1,100,8,NA,0,0,30,1,1,1,0,0,0,0,1,0.2,9,0,1,0,0,0,108,20
"1241",1118408,1,0,70,6,0,70,12,50,0,1,20,1,1,1,0,1,0,0,1,0.2,9,0,0,0,0,1,108,20
"1242",1118409,1,1,46,4,1,80,20,NA,1,1,50,1,1,1,0,0,0,0,1,0.2,9,0.39999998,1,0,0,0,108,20
"1243",1118410,1,0,58,3,1,100,19,30,0,1,40,1,1,1,0,1,0,0,1,0.60000002,9,0,1,0,0,1,108,20
"1244",1118411,1,0,54,4,1,100,20,NA,0,0,50,1,1,1,0,1,0,0,1,0.80000001,9,0,1,0,0,1,108,20
"1245",1118413,1,0,45,4,1,90,50,30,1,0,20,0,NA,1,0,1,0,0,1,0.60000002,9,0,1,0,1,1,108,20
"1246",1118415,1,1,31,4,1,100,20,20,0,1,30,1,1,1,0,1,0,0,1,0.80000001,9,0.19999999,1,0,0,1,108,20
"1247",1118416,1,1,41,5,1,70,25,NA,0,1,20,1,1,1,1,0,0,1,0,0,13,1,1,0,NA,1,108,20
"1248",1118417,1,0,40,4,1,100,22,5,0,0,50,1,1,1,1,1,0,0,1,0.60000002,13,0,1,0,NA,1,108,20
"1249",1118418,1,1,53,8,2,100,35,NA,0,1,20,1,1,1,1,0,0,1,0,0.60000002,13,0.39999998,1,1,NA,1,108,20
"1250",1118421,1,1,29,5,1,100,650,40,0,0,50,1,1,1,1,1,1,0,0,0.80000001,13,0.19999999,1,0,NA,1,108,20
"1251",1118422,1,1,70,10,1,100,20,10,1,0,20,0,1,1,0,0,0,0,1,0,9,0,1,0,0,1,102,20
"1252",1118423,1,0,46,4,2,60,15,NA,0,0,30,0,1,1,1,1,1,0,0,0.40000001,11,0,1,1,NA,0,102,20
"1253",1118424,1,0,33,5,1,90,9,NA,0,1,20,1,1,1,0,1,0,0,1,0,9,0,1,0,0,0,102,20
