"","id","region","takeup_survey","age","agpop","educ","rice_inc","ricearea_2010","disaster_loss","insurance_repay","insurance_buy","disaster_prob","general_trust","male","default","delay","intensive","info_takeup_rate","info_takeup_list","info_none","understanding","day","risk_averse","literacy","educ_good","reveal","disaster_yes","address","village"
"73",1111229,1,0,34,5,1,30,2,NA,0,1,0,1,1,1,1,1,0,0,1,0.40000001,6,1,1,0,NA,0,56,12
"74",1111230,1,0,68,10,0,40,3.8,90,0,0,50,1,1,1,1,1,0,0,1,1,6,0,0,0,NA,1,56,12
"75",1111232,1,1,46,3,3,100,15,10,1,0,0,1,1,1,0,1,0,0,1,0.2,2,0,1,1,0,1,56,12
"76",1111235,1,1,46,5,2,90,5,20,0,0,30,1,1,1,0,1,0,0,1,0.80000001,2,0,1,1,0,1,56,12
"77",1111238,1,0,52,5,1,100,3.7,NA,0,0,20,0,1,1,1,1,1,0,0,0.60000002,6,0,1,0,NA,0,56,12
"78",1111240,1,1,68,11,1,30,5,65,0,0,20,1,1,1,0,0,0,0,1,0,2,0,1,0,1,1,56,12
"79",1111241,1,1,60,4,0,90,1.8,20,0,0,50,0,1,1,0,1,0,0,1,0.80000001,2,0,0,0,1,1,56,12
"80",1111242,1,0,72,10,0,100,0.9,NA,1,1,10,1,1,1,1,0,0,0,1,0.60000002,6,0,0,0,NA,0,56,12
"81",1111243,1,0,66,11,1,60,15,NA,0,0,0,1,1,1,1,1,0,0,1,0.60000002,6,0,1,0,NA,0,56,12
"82",1111244,1,1,48,6,1,100,5.8,30,1,0,20,1,1,1,0,0,0,0,1,0.80000001,2,0,1,0,0,1,56,12
"83",1111245,1,0,74,4,0,100,24,NA,0,0,10,1,1,1,1,1,0,0,1,0.2,6,0.39999998,0,0,NA,1,56,12
"84",1111246,1,0,39,5,1,40,1.98,NA,0,0,40,1,1,1,1,0,1,0,0,0.2,6,0.39999998,1,0,NA,0,56,12
"85",1111249,1,1,54,3,1,70,7,NA,0,0,50,1,1,1,1,1,0,0,1,1,6,0,1,0,NA,0,56,12
"86",1111250,1,1,57,3,1,100,3.3,5,1,0,20,1,1,1,0,0,0,0,1,0.40000001,2,0,1,0,1,1,56,12
"87",1111251,1,1,31,4,2,20,2,NA,0,0,30,1,1,1,0,1,0,0,1,0.80000001,2,0.39999998,1,1,0,0,56,12
"88",1111252,1,1,38,4,1,15,1.3,NA,1,1,20,1,1,1,1,0,0,1,0,0.60000002,6,0,1,0,NA,0,56,12
"89",1111253,1,1,41,4,1,40,1.8,30,0,0,50,1,1,1,0,1,0,0,1,0.60000002,2,0,1,0,0,1,56,12
"90",1111254,1,1,69,3,0,NA,2,20,1,0,40,1,1,1,0,1,0,0,1,0,6,0,0,0,0,1,56,12
"91",1111255,1,1,47,4,1,70,15,NA,0,0,50,1,1,1,1,0,0,1,0,0.80000001,6,0,1,0,NA,NA,56,12
"92",1111258,1,0,60,2,1,30,3,10,0,0,30,1,1,1,1,0,0,0,1,0.60000002,6,0,1,0,NA,1,56,12
"93",1111259,1,1,24,3,4,40,3.7,NA,1,1,20,0,1,1,1,1,0,0,1,0.60000002,6,0,1,1,NA,0,56,12
"94",1111260,1,1,37,4,2,60,1.62,30,0,0,30,1,1,1,0,1,0,0,1,0.80000001,2,1,1,1,0,1,56,12
"95",1111261,1,0,40,4,1,20,1.9,25,1,0,100,0,1,1,0,0,0,0,1,0,2,0,1,0,0,1,56,12
"96",1111262,1,0,46,4,1,100,2.7,NA,0,0,50,1,1,1,1,0,0,0,1,0.40000001,6,1,1,0,NA,0,56,12
"97",1111263,1,1,43,4,1,20,2,30,1,0,20,0,1,1,1,1,0,1,0,0.60000002,6,0,1,0,NA,1,56,12
"98",1111265,1,1,57,5,1,35,4.7,30,0,0,30,0,1,1,1,1,0,1,0,0.60000002,6,0,1,0,NA,1,56,12
"99",1111268,1,1,67,8,2,60,22.5,30,1,0,20,1,1,1,0,1,0,0,1,0.60000002,2,1,1,1,0,1,56,12
"100",1111269,1,1,45,9,0,100,20,25,0,0,0,1,0,1,0,0,0,0,1,0.2,2,0.80000001,0,0,0,1,56,12
"101",1111270,1,1,45,7,2,90,16,NA,0,1,0,1,1,1,1,0,0,0,1,0.60000002,6,0.80000001,1,1,NA,1,56,12
"102",1111311,1,1,45,5,1,18,2,NA,0,0,50,0,1,0,1,1,0,0,1,1,4,0.39999998,1,0,NA,0,58,12
"103",1111313,1,0,40,4,1,20,3,NA,1,1,20,1,1,0,1,1,1,0,0,0.60000002,4,1,1,0,NA,0,58,12
"104",1111314,1,0,57,5,2,70,1.5,NA,0,0,30,1,1,0,0,0,0,0,1,0,2,0.19999999,1,1,0,0,58,12
"105",1111316,1,0,41,4,2,20,1.5,30,1,0,10,0,1,0,0,1,0,0,1,0.40000001,2,0,1,1,0,1,58,12
"106",1111318,1,0,53,4,1,20,2,20,1,1,30,1,1,0,0,0,0,0,1,0.2,2,0,1,0,0,1,58,12
"107",1111322,1,1,42,6,1,70,15,NA,0,0,50,1,1,0,1,1,0,1,0,1,4,0,1,0,NA,NA,58,12
