id,region,takeup_survey,age,agpop,educ,rice_inc,ricearea_2010,disaster_loss,insurance_repay,insurance_buy,disaster_prob,general_trust,male,default,delay,intensive,info_takeup_rate,info_takeup_list,info_none,understanding,day,risk_averse,literacy,educ_good,reveal,disaster_yes,address,village,network_obs,network_rate_preintensive,network_rate_presession,network_rate_pretakeup,network_rate_presimple,knowledge_network,friend1,friend2,friend3,friend4,friend5,network_onlyone,network_onlytwo,network_twomore,network_yes,network_twoside,secondnet_obs,network_second,mean_allnetindegree,mean_1steduc_indegree,mean_allnetpath_out_ind,mean_1steduc_path_out_ind,mean_allnetpath_in_ind,mean_1steduc_path_in_ind,mean_allneteigenvector,mean_1steduc_eigenvector,eigenvector,indegree,path_in_ind,path_out_ind
1111171,1,0,71,12,4,100,14,30,1,1,0,1,1,1,1,1,0,0,1,0,6,0,1,1,,1,55,12,5,0,0,,0,,0,0,0,0,1,0,0,0,0,0,15,.06666667,4.5,0,3.1323528,0,2.310606,0,.13623944,0,.16432148,3,3.1818182,2.9411764
1111173,1,0,78,2,0,10,5.2,,0,0,30,1,1,1,0,0,0,0,1,0,2,.2,0,0,,,55,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1111174,1,1,44,6,1,90,17,30,1,0,20,1,1,1,1,0,0,0,1,.60000002,6,0,1,0,,1,55,12,5,.2,.40000001,1,.2,.2,0,0,0,0,1,1,0,0,1,.2,19,.21052632,3.2,4,2.6176472,3.5,2.6555231,2.4848485,.17588931,.14865443,.22497472,7,2.2424242,3.0294118
1111175,1,0,50,4,1,80,5.3,30,0,0,50,0,1,1,0,1,0,0,1,0,2,.19999999,1,0,0,1,55,12,5,.40000001,.80000001,.75,.40000001,.15000001,0,0,0,0,1,0,1,1,1,.40000001,14,.2857143,4.25,4.5,3.2794118,3.4558823,2.3030303,2.6060605,.21897674,.1565268,.15046979,4,2.3636363,3.2941177
1111176,1,1,59,6,1,70,5,,0,0,40,0,1,1,1,1,1,0,0,0,6,0,1,0,,0,55,12,5,.2,.40000001,.5,.2,.1,0,0,0,0,1,1,0,0,1,.2,12,.41666666,2.75,4,3.0661764,3.2941177,2.121212,2.3636363,.18222883,.15046979,.25269455,8,2.030303,3.3529413
1111177,1,1,47,5,1,100,9,50,0,0,50,0,1,1,1,1,0,0,1,1,6,.19999999,1,0,,1,55,12,5,.2,.40000001,.5,.2,.1,0,0,0,0,1,1,0,0,1,0,15,.33333334,4.4000001,4,3.0529413,3.2941177,2.2363636,2.3636363,.2387585,.15046979,0,0,1.9090909,3.2058823
1111178,1,1,77,6,1,100,14.2,,1,1,30,1,1,1,1,0,0,0,1,.60000002,6,.19999999,1,0,,0,55,12,5,0,.2,1,.2,.2,0,0,0,0,1,0,0,0,0,0,10,.40000001,0,0,3.0294118,0,1.939394,0,.15507941,0,.13241681,3,2.8181818,3.5294118
1111179,1,0,34,10,2,,5,60,0,0,30,1,1,1,1,0,0,1,0,.2,6,0,1,1,,1,55,12,5,0,.2,1,.2,,0,0,0,0,1,0,0,0,0,0,17,.17647059,5.4000001,0,3.017647,0,2.151515,0,.17668098,0,.21218264,3,2.5757575,2.8529413
1111184,1,1,43,4,2,40,5,10,1,0,10,1,1,1,0,1,0,0,1,.2,2,1,1,1,0,1,55,12,5,.40000001,.60000002,.66666669,.20000002,.13333334,0,0,0,0,1,0,1,1,1,.40000001,13,.30769232,1.25,2.5,3.3161764,3.602941,2.4848485,3.030303,.13486174,.11464407,.16439916,5,2.7272727,3.4117646
1111185,1,1,65,6,1,25,6.5,30,0,0,50,1,1,1,0,1,0,0,1,.80000001,2,0,1,0,0,1,55,12,5,.2,.40000001,1,.2,.2,0,0,0,0,1,1,0,0,1,0,14,.2857143,1.75,5,3.2426472,3.4117646,2.6060605,2.7272727,.14782,.16439916,.12531343,3,2.8484848,3.4117646
