	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	takeup_survey	takeup_survey	takeup_survey	takeup_survey	takeup_survey	takeup_survey	takeup_survey	takeup_survey	takeup_survey	takeup_survey
										
	(0.0187)	(0.0205)	(0.0217)	(0.0205)	(0.0662)	(0.0187)	(0.0205)	(0.0217)	(0.0205)	(0.0662)
_Ivilid_32	0.245**	0.241**	0.230**	0.242**	0.532**	0.245**	0.241**	0.230**	0.242**	0.532**
	(0.110)	(0.106)	(0.113)	(0.111)	(0.226)	(0.110)	(0.106)	(0.113)	(0.111)	(0.226)
_Ivilid_33	0.0922	0.0673	0.0845	0.0932	-0.0786	0.0922	0.0673	0.0845	0.0932	-0.0786
	(0.136)	(0.132)	(0.133)	(0.136)	(0.179)	(0.136)	(0.132)	(0.133)	(0.136)	(0.179)
_Ivilid_34	-0.261	-0.263	-0.264	-0.263	-0.237	-0.261	-0.263	-0.264	-0.263	-0.237
	(0.220)	(0.228)	(0.218)	(0.220)	(0.226)	(0.220)	(0.228)	(0.218)	(0.220)	(0.226)
_Ivilid_35	-0.173***	-0.176***	-0.178***	-0.171***	0.113	-0.173***	-0.176***	-0.178***	-0.171***	0.113
	(0.0153)	(0.0143)	(0.0148)	(0.0159)	(0.200)	(0.0153)	(0.0143)	(0.0148)	(0.0159)	(0.200)
_Ivilid_36	-0.183***	-0.175***	-0.186***	-0.182***	-0.581**	-0.183***	-0.175***	-0.186***	-0.182***	-0.581**
	(0.0428)	(0.0353)	(0.0434)	(0.0440)	(0.291)	(0.0428)	(0.0353)	(0.0434)	(0.0440)	(0.291)
_Ivilid_37	-0.284***	-0.279***	-0.281***	-0.283***	-0.572**	-0.284***	-0.279***	-0.281***	-0.283***	-0.572**
	(0.0867)	(0.0864)	(0.0876)	(0.0872)	(0.227)	(0.0867)	(0.0864)	(0.0876)	(0.0872)	(0.227)
_Ivilid_38	0.0587**	0.0578**	0.0542*	0.0618**	0.0908**	0.0587**	0.0578**	0.0542*	0.0618**	0.0908**
	(0.0271)	(0.0272)	(0.0278)	(0.0288)	(0.0361)	(0.0271)	(0.0272)	(0.0278)	(0.0288)	(0.0361)
_Ivilid_39	-0.426***	-0.403***	-0.426***	-0.425***	-0.774***	-0.426***	-0.403***	-0.426***	-0.425***	-0.774***
	(0.0295)	(0.0647)	(0.0306)	(0.0296)	(0.257)	(0.0295)	(0.0647)	(0.0306)	(0.0296)	(0.257)
