	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)
VARIABLES	takeup_survey	takeup_survey	takeup_survey	takeup_survey	takeup_survey	takeup_survey	takeup_survey	takeup_survey	takeup_survey	takeup_survey	takeup_survey	takeup_survey
												
	(0.0871)	(0.142)	(0.161)	(0.141)	(0.143)	(0.0739)	(0.0871)	(0.142)	(0.161)	(0.141)	(0.143)	(0.0739)
_Ivilid_31	0.0914***	-0.199***	-0.314***	-0.186***	-0.147***	-0.000278	0.0914***	-0.199***	-0.314***	-0.186***	-0.147***	-0.000278
	(0.0185)	(0.0151)	(0.0595)	(0.0160)	(0.0227)	(0.0199)	(0.0185)	(0.0151)	(0.0595)	(0.0160)	(0.0227)	(0.0199)
_Ivilid_32	0.245**	0.0698		0.0843	0.154*	0.203**	0.245**	0.0698		0.0843	0.154*	0.203**
	(0.109)	(0.0871)		(0.0909)	(0.0892)	(0.0874)	(0.109)	(0.0871)		(0.0909)	(0.0892)	(0.0874)
_Ivilid_33	0.0921	-0.0325	-0.0895	-0.00398	0.0480	0.0850	0.0921	-0.0325	-0.0895	-0.00398	0.0480	0.0850
	(0.136)	(0.0426)	(0.0642)	(0.0366)	(0.0417)	(0.117)	(0.136)	(0.0426)	(0.0642)	(0.0366)	(0.0417)	(0.117)
_Ivilid_34	-0.261	-0.0451	-0.150	-0.0392	-0.0134	-0.309**	-0.261	-0.0451	-0.150	-0.0392	-0.0134	-0.309**
	(0.220)	(0.209)	(0.206)	(0.215)	(0.225)	(0.135)	(0.220)	(0.209)	(0.206)	(0.215)	(0.225)	(0.135)
_Ivilid_35	-0.174***	-0.374***	-0.405***	-0.354***	-0.301***	-0.220***	-0.174***	-0.374***	-0.405***	-0.354***	-0.301***	-0.220***
	(0.0144)	(0.0186)	(0.0660)	(0.0208)	(0.0339)	(0.0127)	(0.0144)	(0.0186)	(0.0660)	(0.0208)	(0.0339)	(0.0127)
_Ivilid_36	-0.183***	-0.360***	-0.446***	-0.335***	-0.302***	-0.208***	-0.183***	-0.360***	-0.446***	-0.335***	-0.302***	-0.208***
	(0.0427)	(0.0977)	(0.120)	(0.0974)	(0.102)	(0.0235)	(0.0427)	(0.0977)	(0.120)	(0.0974)	(0.102)	(0.0235)
_Ivilid_37	-0.284***	-0.177***	-0.261***	-0.157***	-0.111***	-0.272***	-0.284***	-0.177***	-0.261***	-0.157***	-0.111***	-0.272***
	(0.0867)	(0.0222)	(0.0632)	(0.0239)	(0.0316)	(0.0825)	(0.0867)	(0.0222)	(0.0632)	(0.0239)	(0.0316)	(0.0825)
_Ivilid_38	0.0588**	-0.128	-0.175	-0.100	-0.0360	0.0133	0.0588**	-0.128	-0.175	-0.100	-0.0360	0.0133
	(0.0271)	(0.196)	(0.214)	(0.195)	(0.184)	(0.0386)	(0.0271)	(0.196)	(0.214)	(0.195)	(0.184)	(0.0386)
_Ivilid_39	-0.426***	-0.138	-0.217	-0.117	-0.0665	-0.414***	-0.426***	-0.138	-0.217	-0.117	-0.0665	-0.414***
	(0.0295)	(0.133)	(0.184)	(0.124)	(0.124)	(0.0271)	(0.0295)	(0.133)	(0.184)	(0.124)	(0.124)	(0.0271)
_Ivilid_40	-0.149	-0.285*	-0.354**	-0.270*	-0.225	-0.161**	-0.149	-0.285*	-0.354**	-0.270*	-0.225	-0.161**
	(0.107)	(0.151)	(0.168)	(0.147)	(0.154)	(0.0772)	(0.107)	(0.151)	(0.168)	(0.147)	(0.154)	(0.0772)
_Ivilid_41	-0.0933***	-0.175*	-0.235**	-0.147	-0.105	-0.0968**	-0.0933***	-0.175*	-0.235**	-0.147	-0.105	-0.0968**
	(0.0248)	(0.0961)	(0.0916)	(0.0943)	(0.0897)	(0.0441)	(0.0248)	(0.0961)	(0.0916)	(0.0943)	(0.0897)	(0.0441)
_Ivilid_42	-0.392***	-0.285***	-0.360***	-0.274***	-0.213***	-0.371***	-0.392***	-0.285***	-0.360***	-0.274***	-0.213***	-0.371***
	(0.0353)	(0.0443)	(0.0693)	(0.0424)	(0.0511)	(0.0471)	(0.0353)	(0.0443)	(0.0693)	(0.0424)	(0.0511)	(0.0471)
_Ivilid_43	-0.161***	0.422***	0.345***	0.431***	0.482***	0.0126	-0.161***	0.422***	0.345***	0.431***	0.482***	0.0126
	(0.0503)	(0.0287)	(0.0617)	(0.0324)	(0.0376)	(0.0596)	(0.0503)	(0.0287)	(0.0617)	(0.0324)	(0.0376)	(0.0596)
_Ivilid_44	-0.480***	-0.111	-0.207*	-0.0968	-0.0527	-0.400***	-0.480***	-0.111	-0.207*	-0.0968	-0.0527	-0.400***
	(0.0484)	(0.114)	(0.111)	(0.115)	(0.111)	(0.0352)	(0.0484)	(0.114)	(0.111)	(0.115)	(0.111)	(0.0352)
_Ivilid_45	-0.0252	0.0768	0.00210	0.0953	0.143	0.00873	-0.0252	0.0768	0.00210	0.0953	0.143	0.00873
	(0.0968)	(0.0892)	(0.117)	(0.0916)	(0.0972)	(0.0844)	(0.0968)	(0.0892)	(0.117)	(0.0916)	(0.0972)	(0.0844)
_Ivilid_46	-0.306***	-0.294***	-0.370***	-0.278***	-0.236***	-0.336***	-0.306***	-0.294***	-0.370***	-0.278***	-0.236***	-0.336***
	(0.0642)	(0.0341)	(0.0708)	(0.0365)	(0.0400)	(0.0581)	(0.0642)	(0.0341)	(0.0708)	(0.0365)	(0.0400)	(0.0581)
_Ivilid_47	-0.289***	-0.264***	-0.336***	-0.250***	-0.210***	-0.311***	-0.289***	-0.264***	-0.336***	-0.250***	-0.210***	-0.311***
	(0.100)	(0.0685)	(0.0923)	(0.0651)	(0.0686)	(0.0614)	(0.100)	(0.0685)	(0.0923)	(0.0651)	(0.0686)	(0.0614)
_Ivilid_5	-0.167					-0.168	-0.167					-0.168
	(0.153)					(0.150)	(0.153)					(0.150)
_Ivilid_23	-0.256**					-0.272**	-0.256**					-0.272**
	(0.107)					(0.110)	(0.107)					(0.110)
_Ivilid_27	-0.191**		-0.0442			-0.155**	-0.191**		-0.0442			-0.155**
	(0.0959)		(0.0590)			(0.0637)	(0.0959)		(0.0590)			(0.0637)
network_rate_presimple			-0.108						-0.108			
			(0.0933)						(0.0933)			
friend2			-0.265						-0.265			
			(0.233)						(0.233)			
o.friend3			-						-			
												
o._Ivilid_32			-						-			
												
inter_network_educ				-0.329**						-0.329**		
				(0.161)						(0.161)		
network_onlyone					0.0970**						0.0970**	
					(0.0425)						(0.0425)	
network_onlytwo					0.177						0.177	
					(0.111)						(0.111)	
network_twomore					0.137						0.137	
					(0.0916)						(0.0916)	
inter_network_educ1					-0.0869						-0.0869	
					(0.0551)						(0.0551)	
inter_network_educ2					-0.0908						-0.0908	
					(0.193)						(0.193)	
inter_network_educ3					-0.141						-0.141	
					(0.174)						(0.174)	
delay						0.0318						0.0318
						(0.0362)						(0.0362)
inter_inten_delay						-0.0525						-0.0525
						(0.0468)						(0.0468)
Constant	0.363***	-0.167	0.457*	-0.209*	-0.188*	0.333***	0.363***	-0.167	0.457*	-0.209*	-0.188*	0.333***
	(0.0863)	(0.103)	(0.242)	(0.118)	(0.102)	(0.0795)	(0.0863)	(0.103)	(0.242)	(0.118)	(0.102)	(0.0795)
												
Observations	2,137	1,255	1,274	1,255	1,255	2,756	2,137	1,255	1,274	1,255	1,255	2,756
R-squared	0.125	0.119	0.091	0.123	0.129	0.107	0.125	0.119	0.091	0.123	0.129	0.107
Robust standard errors in parentheses												
*** p<0.01, ** p<0.05, * p<0.1												
